id,name,start,end
ENSG00000280279,AC240565.2,64099,76866
ENSG00000280136,AC240565.1,88641,118578
ENSG00000277613,U6,90796,90899
ENSG00000268320,SCGB1C2,137526,139067
ENSG00000272636,DOC2B,142789,181636
ENSG00000273172,LINC02091,183824,191587
ENSG00000181031,RPH3AL,212389,386254
ENSG00000262920,AC129507.4,321392,322453
ENSG00000262061,AC129507.1,331205,333488
ENSG00000262294,AC129507.2,352638,357581
ENSG00000262558,AC129507.3,354737,356882
ENSG00000241525,AC141424.1,404468,414023
ENSG00000187624,C17orf97,410327,431062
ENSG00000183688,RFLNB,439978,445939
ENSG00000263015,AC015853.2,503171,511347
ENSG00000141252,VPS53,508668,721717
ENSG00000263300,AC015853.3,523140,540576
ENSG00000262905,AC015853.1,552566,553417
ENSG00000262708,AC027455.1,616002,616595
ENSG00000244097,RPS4XP17,656794,657547
ENSG00000167695,FAM57A,732412,742972
ENSG00000179409,GEMIN4,744414,753999
ENSG00000231784,DBIL5P,752660,755336
ENSG00000167699,GLOD4,757097,783390
ENSG00000262228,AC087392.3,763565,765319
ENSG00000171861,MRM3,782273,792509
ENSG00000262434,AC087392.4,789744,790525
ENSG00000277491,AC087392.5,795306,795794
ENSG00000167693,NXN,799313,979770
ENSG00000262133,AC087392.2,877902,880093
ENSG00000262003,AC087392.1,909632,911212
ENSG00000263017,AC036164.1,959034,959366
ENSG00000177370,TIMM22,997117,1003671
ENSG00000159842,ABR,1003518,1229021
ENSG00000264429,MIR3183,1022476,1022559
ENSG00000278794,Metazoa_SRP,1101007,1101273
ENSG00000275997,AC016292.2,1155966,1156175
ENSG00000235361,AC016292.1,1181893,1185086
ENSG00000262213,AC144836.1,1241939,1254000
ENSG00000205899,BHLHA9,1270559,1271460
ENSG00000184811,TUSC5,1279663,1300987
ENSG00000108953,YWHAE,1344272,1400378
ENSG00000280408,AC032044.2,1352070,1352255
ENSG00000167193,CRK,1420689,1463162
ENSG00000262777,AC032044.1,1424473,1426484
ENSG00000197879,MYO1C,1464098,1492812
ENSG00000132376,INPP5K,1494571,1516888
ENSG00000236618,PITPNA-AS1,1516931,1518096
ENSG00000174238,PITPNA,1517718,1562816
ENSG00000167703,SLC43A2,1569267,1628886
ENSG00000243704,RN7SL105P,1604374,1604672
ENSG00000074660,SCARF1,1633858,1645747
ENSG00000167705,RILP,1646145,1650077
ENSG00000174231,PRPF8,1650629,1684882
ENSG00000277597,AC130343.2,1684726,1685151
ENSG00000185561,TLCD2,1702790,1710438
ENSG00000186594,MIR22HG,1711493,1717174
ENSG00000283824,MIR22,1713903,1713987
ENSG00000167716,WDR81,1716523,1738599
ENSG00000262791,AC130343.1,1725748,1738585
ENSG00000167711,SERPINF2,1742836,1755268
ENSG00000132386,SERPINF1,1761959,1777574
ENSG00000186532,SMYD4,1779485,1830634
ENSG00000132383,RPA1,1829702,1900082
ENSG00000108958,AC130689.1,1858039,1858446
ENSG00000185924,RTN4RL1,1934677,2025345
ENSG00000262445,AC099684.2,1995614,2003671
ENSG00000228133,AC099684.1,2017716,2020706
ENSG00000262869,AC099684.3,2019952,2023664
ENSG00000108963,DPH1,2030110,2043430
ENSG00000262664,OVCA2,2041936,2043430
ENSG00000262533,AC090617.4,2042900,2043425
ENSG00000263050,AC090617.6,2043475,2044968
ENSG00000267200,MIR132,2049908,2050008
ENSG00000267195,MIR212,2050271,2050380
ENSG00000177374,HIC1,2054154,2063241
ENSG00000070366,SMG6,2059839,2303771
ENSG00000280333,AC090617.10,2072823,2072956
ENSG00000262810,AC090617.5,2089681,2101560
ENSG00000279040,AC090617.7,2101542,2101667
ENSG00000279562,AC090617.9,2117626,2117772
ENSG00000279340,AC090617.8,2122342,2122508
ENSG00000262402,AC090617.3,2127430,2127904
ENSG00000265777,RN7SL624P,2199762,2200039
ENSG00000236838,AC090617.2,2213697,2214414
ENSG00000236457,AC090617.1,2215482,2216015
ENSG00000225084,AL450226.1,2232680,2233610
ENSG00000278941,SMG6-IT1,2235713,2236086
ENSG00000280242,AL450226.2,2255719,2256157
ENSG00000167720,SRR,2303383,2325260
ENSG00000262333,HNRNPA1P16,2306761,2307715
ENSG00000167721,TSR1,2322503,2337507
ENSG00000275084,SNORD91B,2329016,2329237
ENSG00000212163,SNORD91A,2330180,2330370
ENSG00000141258,SGSM2,2337498,2381058
ENSG00000274758,AC006435.3,2366589,2366791
ENSG00000263345,AC006435.2,2375061,2379306
ENSG00000070444,MNT,2384060,2401118
ENSG00000262456,AC006435.1,2384847,2386664
ENSG00000127804,METTL16,2405562,2511891
ENSG00000279872,AC006435.4,2424179,2424412
ENSG00000280280,AC006435.5,2460183,2460294
ENSG00000243049,RN7SL33P,2557753,2558094
ENSG00000262953,EIF4A1P9,2586330,2587866
ENSG00000007168,PAFAH1B1,2593210,2685615
ENSG00000262480,SAMD11P1,2613284,2613944
ENSG00000279432,AC015799.1,2639297,2642418
